;Players;Values
2;Stuart Taylor;250 Tsd. €  
3;Virgil van Dijk;50,00 Mio. €  
4;Wesley Hoedt;15,00 Mio. €  
5;Jack Stephens;8,00 Mio. €  
6;Maya Yoshida;7,00 Mio. €  
7;Jan Bednarek;5,00 Mio. €  
8;Ryan Bertrand;20,00 Mio. €  
9;Matt Targett;3,00 Mio. €  
10;Sam McQueen;1,00 Mio. €  
11;Cédric Soares;15,00 Mio. €  
12;Jérémy Pied;2,50 Mio. €  
13;Mario Lemina;15,00 Mio. €  
14;Oriol Romeu;12,00 Mio. €  
15;Pierre-Emile Höjbjerg;10,00 Mio. €  
16;Harrison Reed;1,00 Mio. €  
17;James Ward-Prowse;18,00 Mio. €  
18;Steven Davis;4,00 Mio. €  
19;Nathan Redmond;18,00 Mio. €  
20;Dusan Tadic;15,00 Mio. €  
21;Sofiane Boufal;12,00 Mio. €  
22;Josh Sims;750 Tsd. €  
23;Guido Carrillo;15,00 Mio. €  
24;Manolo Gabbiadini;12,00 Mio. €  
25;Charlie Austin;10,00 Mio. €  
26;Shane Long;7,00 Mio. €  
27;Sam Gallagher;3,00 Mio. €  
28;Michael Obafemi; 
0;Wayne Hennessey;4,00 Mio. €  
1;Diego Cavalieri;1,00 Mio. €  
2;Julián Speroni;250 Tsd. €  
3;Dion Henry;50 Tsd. €  
4;Mamadou Sakho;15,00 Mio. €  
5;James Tomkins;8,00 Mio. €  
6;Scott Dann;5,00 Mio. €  
7;Jairo Riedewald;5,00 Mio. €  
8;Jaroslaw Jach;2,00 Mio. €  
9;Damien Delaney;1,00 Mio. €  
10;Ryan Inniss;75 Tsd. €  
11;Michael Phillips; 
12;Patrick van Aanholt;9,00 Mio. €  
13;Pape Souaré;3,50 Mio. €  
14;Timothy Fosu-Mensah;7,00 Mio. €  
15;Joel Ward;5,00 Mio. €  
16;Martin Kelly;3,00 Mio. €  
17;Aaron Wan-Bissaka;1,00 Mio. €  
18;Luka Milivojevic;15,00 Mio. €  
19;Ruben Loftus-Cheek;15,00 Mio. €  
20;Yohan Cabaye;10,00 Mio. €  
21;James McArthur;6,00 Mio. €  
22;Jordon Mutch;2,00 Mio. €  
23;Erdal Rakip;1,50 Mio. €  
24;Nya Kirby; 
25;Jeffrey Schlupp;9,00 Mio. €  
26;Jason Puncheon;5,00 Mio. €  
27;Jonathan Williams;1,00 Mio. €  
28;Wilfried Zaha;30,00 Mio. €  
29;Bakary Sako;5,00 Mio. €  
30;Sullay Kaikai;500 Tsd. €  
31;Keshi Anderson;100 Tsd. €  
32;Levi Lumeka; 
33;Andros Townsend;15,00 Mio. €  
34;Chung-yong Lee;1,50 Mio. €  
35;Jason Lokilo; 
36;Christian Benteke;22,00 Mio. €  
37;Alexander Sörloth;7,00 Mio. €  
38;Connor Wickham;5,00 Mio. €  
39;Freddie Ladapo;250 Tsd. €  
40;James Daly; 
0;Mathew Ryan;8,00 Mio. €  
1;Tim Krul;2,50 Mio. €  
2;Christian Walton;250 Tsd. €  
3;Niki Mäenpää;250 Tsd. €  
4;Shane Duffy;12,00 Mio. €  
5;Lewis Dunk;10,00 Mio. €  
6;Uwe Hünemeier;1,00 Mio. €  
7;Connor Goldson;1,00 Mio. €  
8;Markus Suttner;2,50 Mio. €  
9;Gaëtan Bong;1,50 Mio. €  
10;Ezequiel Schelotto;4,50 Mio. €  
11;Ales Mateju;1,50 Mio. €  
12;Liam Rosenior;1,00 Mio. €  
13;Bruno;750 Tsd. €  
14;Rohan Ince;500 Tsd. €  
15;Dessie Hutchinson; 
16;Davy Pröpper;15,00 Mio. €  
17;Pascal Groß;10,00 Mio. €  
18;Dale Stephens;6,00 Mio. €  
19;Oliver Norwood;3,00 Mio. €  
20;Beram Kayal;1,50 Mio. €  
21;Steve Sidwell;1,00 Mio. €  
22;Richie Towell;200 Tsd. €  
23;Jayson Molumby; 
24;Max Sanders; 
25;Solly March;5,00 Mio. €  
26;Izzy Brown;5,00 Mio. €  
27;Soufyan Ahannach;500 Tsd. €  
28;José Izquierdo;14,00 Mio. €  
29;Jamie Murphy;1,75 Mio. €  
30;Jiri Skalak;1,50 Mio. €  
31;Anthony Knockaert;8,00 Mio. €  
32;James Tilley; 
